coin_id,symbol,kraken_pair,mid,spread_median_bps,rv_1d_pct,atr_5m,inefficiency_score
sei-network,SEI,SEIUSD,0.29427000000000003,5.437183538926614,3.085196171657126,0.00048625448108080956,-2.3519873672694875
aptos,APT,APTUSD,4.3842,4.561835682678208,2.5865635373268865,0.006664591603234944,-1.9752721453513211
sui,SUI,SUIUSD,3.42915,4.374261843314107,2.691121653221994,0.00496677875001542,-1.683140190092113
dogwifcoin,WIF,WIFUSD,0.8483,4.715312978899764,3.168704161015569,0.0016369252764551637,-1.546608817884195
bonk,BONK,BONKUSD,2.15485e-05,4.176624823073256,3.044652766809036,3.5250649490846375e-08,-1.1319720562642202
floki,FLOKI,FLOKIUSD,9.9615e-05,3.0115946393627038,2.8472271686202264,1.7469248556118566e-07,-0.16436747074247737
pepe,PEPE,PEPEUSD,1.03045e-05,0.9704498034843988,2.6287364449656794,1.711662924087106e-08,1.6582866414812805
