ts,ts_human,product_id,side,reason
1771946201,2026-02-24 10:16:42 EST,USDT-USD,NONE,bad_quote bid=0 ask=0
1771946218,2026-02-24 10:17:00 EST,USDT-USD,NONE,bad_quote bid=0 ask=0
1771946235,2026-02-24 10:17:17 EST,USDT-USD,NONE,bad_quote bid=0 ask=0
1771946253,2026-02-24 10:17:35 EST,USDT-USD,NONE,bad_quote bid=0 ask=0
